"","state_fips_code","state_name","disease","vaccine","time_horizon","vaccine_coverage_estimate","vaccine_effectiveness","declining_coverage_among_new_births","coverage_with_decline_applied","structural_vaccine_coverage","effective_structural_vaccine_coverage","total_population","age_group","age_group_length","age_group_population","waning_rate_annual","basic_reproduction_number","observed_national_cases","duration_infectious_days","duration_sick_days","cost_wage_daily","proportion_hospitalized_given_case","duration_hospitalized_days","cost_hospitalization_daily","death_rate","model_type","endemic_equilibrium_incidence_rate_annual","infections","infections_per_100k","additional_infections","additional_infections_per_100k","cases","cases_per_100k","additional_cases","additional_cases_per_100k","hospitalizations","hospitalizations_per_100k","additional_hospitalizations","additional_hospitalizations_per_100k","deaths","deaths_per_100k","additional_deaths","additional_deaths_per_100k","workdays_lost","workdays_lost_per_100k","additional_workdays_lost","additional_workdays_lost_per_100k","productivity_cost","productivity_cost_per_100k","additional_productivity_cost","additional_productivity_cost_per_100k","hospitalization_cost","hospitalization_cost_per_100k","additional_hospitalization_cost","additional_hospitalization_cost_per_100k","total_cost","total_cost_per_100k","additional_total_cost","additional_total_cost_per_100k","vaccine_adverse_events","vaccine_adverse_events_per_100k","vaccine_adverse_events_avoided","vaccine_adverse_events_avoided_per_100k"
"12366","48","Texas","Pneumococcal","PCV",5,0.731,0.902,0.04,0.691,0.691,0.623282,29640343,"0-4 years",5,1928242,0.1,5,NA,10,10,250,0.83,9.66,6958,0.0369,"SIRS",0.14034725288689,270623.467601123,14034.725288689,32440.5416634928,1682.38953738653,383.951043758198,19.9119738994482,46.0254978704873,2.38691501743491,318.679366319304,16.526938336542,38.2011632325045,1.98113946447098,11.7602371072971,0.609894251203793,1.40973901943396,0.0731100670680319,3839.51043758198,199.119738994482,460.254978704873,23.8691501743491,959877.609395495,49779.9347486205,115063.744676218,5967.28754358728,21419804.1580083,1110846.26089507,2567663.68183526,133160.862684003,22379681.7674038,1160626.19564369,2682727.42651149,139128.15022759,0.15988982664,0.008292,0.00925556159999999,0.00048
"12367","48","Texas","Pneumococcal","PCV",10,0.731,0.902,0.04,0.691,0.691,0.623282,29640343,"0-4 years",5,1928242,0.1,5,NA,10,10,250,0.83,9.66,6958,0.0369,"SIRS",0.14034725288689,270623.467601123,14034.725288689,32440.5416634928,1682.38953738653,383.951043758198,19.9119738994482,46.0254978704873,2.38691501743491,318.679366319304,16.526938336542,38.2011632325045,1.98113946447098,11.7602371072971,0.609894251203793,1.40973901943396,0.0731100670680319,3839.51043758198,199.119738994482,460.254978704873,23.8691501743491,959877.609395495,49779.9347486205,115063.744676218,5967.28754358728,21419804.1580083,1110846.26089507,2567663.68183526,133160.862684003,22379681.7674038,1160626.19564369,2682727.42651149,139128.15022759,0.15988982664,0.008292,0.00925556159999999,0.00048
"12368","48","Texas","Pneumococcal","PCV",20,0.731,0.902,0.04,0.691,0.691,0.623282,29640343,"0-4 years",5,1928242,0.1,5,NA,10,10,250,0.83,9.66,6958,0.0369,"SIRS",0.14034725288689,270623.467601123,14034.725288689,32440.5416634928,1682.38953738653,383.951043758198,19.9119738994482,46.0254978704873,2.38691501743491,318.679366319304,16.526938336542,38.2011632325045,1.98113946447098,11.7602371072971,0.609894251203793,1.40973901943396,0.0731100670680319,3839.51043758198,199.119738994482,460.254978704873,23.8691501743491,959877.609395495,49779.9347486205,115063.744676218,5967.28754358728,21419804.1580083,1110846.26089507,2567663.68183526,133160.862684003,22379681.7674038,1160626.19564369,2682727.42651149,139128.15022759,0.15988982664,0.008292,0.00925556159999999,0.00048
"12369","48","Texas","Pneumococcal","PCV",1,0.731,0.902,0.05,0.681,0.721,0.650342,29640343,"0-4 years",5,1928242,0.1,5,NA,10,10,250,0.83,9.66,6958,0.0369,"SIRS",0.128054831279857,246920.703976734,12805.4831279857,8737.77803910378,453.147376683206,350.322397601939,18.1679684190023,12.3968517142281,0.642909536989034,290.767590009609,15.0794137877719,10.2893869228093,0.5336149157009,10.730207735521,0.556476196220238,0.379709647657945,0.0196920120844762,3503.22397601939,181.679684190023,123.968517142281,6.42909536989035,875805.994004847,45419.9210475058,30992.1292855704,1607.27384247259,19543734.2098311,1013551.94056716,691593.733658049,35866.5423560969,20419540.2038359,1058971.86161467,722585.862943619,37473.8161985694,0.15757593624,0.008172,0.011569452,6e-04
"12370","48","Texas","Pneumococcal","PCV",5,0.731,0.902,0.05,0.681,0.681,0.614262,29640343,"0-4 years",5,1928242,0.1,5,NA,10,10,250,0.83,9.66,6958,0.0369,"SIRS",0.144061469578247,277785.376222499,14406.1469578247,39602.4502848686,2053.81120652224,394.112107448842,20.4389338811644,56.1865615611317,2.91387499915113,327.113049182539,16.9643151213665,46.6348460957394,2.41851624929544,12.0714656355351,0.626034783784146,1.720967547672,0.0892505996483846,3941.12107448842,204.389338811644,561.865615611317,29.1387499915113,985280.268622106,51097.3347029111,140466.403902829,7284.68749787782,21986668.079409,1140244.22657576,3134527.60323593,162558.828364694,22971948.3480311,1191341.56127867,3274994.00713877,169843.515862572,0.15757593624,0.008172,0.011569452,6e-04
"12371","48","Texas","Pneumococcal","PCV",10,0.731,0.902,0.05,0.681,0.681,0.614262,29640343,"0-4 years",5,1928242,0.1,5,NA,10,10,250,0.83,9.66,6958,0.0369,"SIRS",0.144061469578247,277785.376222499,14406.1469578247,39602.4502848686,2053.81120652224,394.112107448842,20.4389338811644,56.1865615611317,2.91387499915113,327.113049182539,16.9643151213665,46.6348460957394,2.41851624929544,12.0714656355351,0.626034783784146,1.720967547672,0.0892505996483846,3941.12107448842,204.389338811644,561.865615611317,29.1387499915113,985280.268622106,51097.3347029111,140466.403902829,7284.68749787782,21986668.079409,1140244.22657576,3134527.60323593,162558.828364694,22971948.3480311,1191341.56127867,3274994.00713877,169843.515862572,0.15757593624,0.008172,0.011569452,6e-04
"12372","48","Texas","Pneumococcal","PCV",20,0.731,0.902,0.05,0.681,0.681,0.614262,29640343,"0-4 years",5,1928242,0.1,5,NA,10,10,250,0.83,9.66,6958,0.0369,"SIRS",0.144061469578247,277785.376222499,14406.1469578247,39602.4502848686,2053.81120652224,394.112107448842,20.4389338811644,56.1865615611317,2.91387499915113,327.113049182539,16.9643151213665,46.6348460957394,2.41851624929544,12.0714656355351,0.626034783784146,1.720967547672,0.0892505996483846,3941.12107448842,204.389338811644,561.865615611317,29.1387499915113,985280.268622106,51097.3347029111,140466.403902829,7284.68749787782,21986668.079409,1140244.22657576,3134527.60323593,162558.828364694,22971948.3480311,1191341.56127867,3274994.00713877,169843.515862572,0.15757593624,0.008172,0.011569452,6e-04
"12373","48","Texas","Pneumococcal","PCV",1,0.731,0.902,0.06,0.671,0.719,0.648538,29640343,"0-4 years",5,1928242,0.1,5,NA,10,10,250,0.83,9.66,6958,0.0369,"SIRS",0.12893321480979,248614.439991258,12893.321480979,10431.5140536284,540.985729676481,352.725410601484,18.2925903803301,14.7998647137736,0.767531498316786,292.762090799232,15.182850015674,12.2838877124321,0.637051143602934,10.8038108760932,0.560293307380154,0.45331278823013,0.0235091232443921,3527.25410601484,182.925903803301,147.998647137736,7.67531498316786,881813.526503711,45731.4759508252,36999.6617844339,1918.82874579196,19677793.144365,1020504.33215151,825652.668191969,42818.9339404478,20559606.6708687,1066235.80810234,862652.329976406,44737.7626862399,0.15526204584,0.008052,0.0138833424,0.00072
"12374","48","Texas","Pneumococcal","PCV",5,0.731,0.902,0.06,0.671,0.671,0.605242,29640343,"0-4 years",5,1928242,0.1,5,NA,10,10,250,0.83,9.66,6958,0.0369,"SIRS",0.147605950712346,284619.993613476,14760.5950712346,46437.0676758458,2408.25931993214,403.80882186986,20.9418123798704,65.8832759821495,3.41675349785709,335.161322151984,17.3817042752924,54.6831190651841,2.83590540322138,12.3684713674032,0.641437712040458,2.01797327954008,0.104653527904697,4038.0882186986,209.418123798704,658.832759821495,34.1675349785709,1009522.05467465,52354.530949676,164708.189955374,8541.88374464272,22527626.9522937,1168298.7380367,3675486.47612062,190613.339825635,23537149.0069683,1220653.26898638,3840194.666076,199155.223570278,0.15526204584,0.008052,0.0138833424,0.00072
"12375","48","Texas","Pneumococcal","PCV",10,0.731,0.902,0.06,0.671,0.671,0.605242,29640343,"0-4 years",5,1928242,0.1,5,NA,10,10,250,0.83,9.66,6958,0.0369,"SIRS",0.147605950712346,284619.993613476,14760.5950712346,46437.0676758458,2408.25931993214,403.80882186986,20.9418123798704,65.8832759821495,3.41675349785709,335.161322151984,17.3817042752924,54.6831190651841,2.83590540322138,12.3684713674032,0.641437712040458,2.01797327954008,0.104653527904697,4038.0882186986,209.418123798704,658.832759821495,34.1675349785709,1009522.05467465,52354.530949676,164708.189955374,8541.88374464272,22527626.9522937,1168298.7380367,3675486.47612062,190613.339825635,23537149.0069683,1220653.26898638,3840194.666076,199155.223570278,0.15526204584,0.008052,0.0138833424,0.00072
