"","disease","state_name","age_group","age_group_population","percent_decline","accrual_years","accrual_label","baseline_coverage","cases","additional_cases","cases_per_100k","additional_cases_per_100k","hospitalizations","additional_hospitalizations","hospitalizations_per_100k","additional_hospitalizations_per_100k","deaths","additional_deaths","deaths_per_100k","additional_deaths_per_100k","workdays_lost","additional_workdays_lost","workdays_lost_per_100k","additional_workdays_lost_per_100k","productivity_cost","additional_productivity_cost","productivity_cost_per_100k","additional_productivity_cost_per_100k","hospitalization_cost","additional_hospitalization_cost","hospitalization_cost_per_100k","additional_hospitalization_cost_per_100k","total_cost","additional_total_cost","total_cost_per_100k","additional_total_cost_per_100k","vaccine_adverse_events","vaccine_adverse_events_per_100k","vaccine_adverse_events_avoided","vaccine_adverse_events_avoided_per_100k"
"11","Hib","Alabama","All ages",5054253,2,10,"10 Years",0.878,2.30349424235624,0.0799859565179926,0.0455753647938923,0.00158254754002209,2.18831953023843,0.075986658692093,0.0432965965541976,0.00150342016302098,0.0921397696942498,0.0031994382607197,0.00182301459175569,6.33019016008835e-05,23.0349424235624,0.799859565179927,0.455753647938923,0.0158254754002209,5758.73560589061,199.964891294982,113.938411984731,3.95636885005523,66042.1704308777,2293.23176733215,1306.66530604775,45.3723184678756,71800.9060367683,2493.19665862714,1420.60371803248,49.3286873179308,0.0505219572,0.00099959296062148,0.001177668,2.33005352126219e-05
"12","Hib","Alabama","All ages",5054253,2,20,"20 Years",0.878,2.3425007601142,0.118993350092316,0.0463471211297534,0.00235432120418817,2.22537572210849,0.113043682587701,0.0440297650732658,0.00223660514397876,0.0937000304045679,0.00475973400369266,0.00185388484519014,9.41728481675266e-05,23.425007601142,1.18993350092317,0.463471211297534,0.0235432120418817,5856.25190028549,297.483375230791,115.867802824384,5.88580301047042,67160.5040678009,3411.59051428725,1328.79189205212,67.4994012821924,73016.7559680864,3709.07388951804,1444.6596948765,73.3852042926628,0.0505219572,0.00099959296062148,0.001177668,2.33005352126219e-05
"13","Hib","Alabama","All ages",5054253,3,1,"1 Year",0.878,2.23332346873277,0.0107572135700942,0.0441870137631173,0.000212834885196571,2.12165729529613,0.0102193528915895,0.0419776630749614,0.000202193140936742,0.0893329387493107,0.000430288542803772,0.00176748055052469,8.51339540786289e-06,22.3332346873277,0.107572135700944,0.441870137631173,0.00212834885196573,5583.30867183192,26.893033925236,110.467534407793,0.532087212991434,64030.34417766,308.413938656437,1266.86068500449,6.10206767758633,69613.6528494919,335.306972581674,1377.32821941228,6.63415489057779,0.0499331232,0.000987942693015169,0.001766502,3.4950802818933e-05
"14","Hib","Alabama","All ages",5054253,3,5,"5 Years",0.878,2.30962489509396,0.0861155752930389,0.0456966617043895,0.00170382399323973,2.19414365033926,0.0818097965283869,0.04341182861917,0.00161863279357774,0.0923849958037583,0.00344462301172155,0.00182786646817558,6.81529597295892e-05,23.0962489509396,0.861155752930389,0.456966617043895,0.0170382399323973,5774.0622377349,215.288938232597,114.241654260974,4.25955998309933,66217.9388810487,2468.9705733488,1310.14294062938,48.8493665305002,71992.0011187836,2684.25951158139,1424.38459489035,53.1089265135994,0.0499331232,0.000987942693015169,0.001766502,3.4950802818933e-05
"15","Hib","Alabama","All ages",5054253,3,10,"10 Years",0.878,2.34428232963486,0.120774043796609,0.0463823700482516,0.00238955279438147,2.22706821315312,0.114735341606779,0.0440632515458391,0.00227007515466239,0.0937712931853944,0.00483096175186436,0.00185529480193007,9.55821117752586e-05,23.4428232963486,1.20774043796609,0.463823700482516,0.0238955279438147,5860.70582408715,301.935109491523,115.955925120629,5.97388198595367,67211.5824320332,3462.64376848761,1329.8024937025,68.5095061226182,73072.2882561203,3764.57887797914,1445.75841882312,74.4833881085718,0.0499331232,0.000987942693015169,0.001766502,3.4950802818933e-05
"16","Hib","Alabama","All ages",5054253,3,20,"20 Years",0.878,2.40463957024136,0.18113216021948,0.0475765572131304,0.00358375728756515,2.28440759172929,0.172075552208506,0.0451977293524739,0.00340456942318689,0.0961855828096544,0.0072452864087792,0.00190306228852522,0.000143350291502606,24.0463957024136,1.8113216021948,0.475765572131304,0.0358375728756515,6011.5989256034,452.8304005487,118.941393032826,8.95939321891287,68942.050473835,5193.13692032138,1364.04035322005,102.747862450126,74953.6493994384,5645.96732087008,1482.98174625288,111.707255669039,0.0499331232,0.000987942693015169,0.001766502,3.4950802818933e-05
"17","Hib","Alabama","All ages",5054253,4,1,"1 Year",0.878,2.23691492862754,0.0143486734648636,0.0442580719371891,0.000283893059268375,2.12506918219616,0.0136312397916205,0.0420451683403296,0.000269698406304958,0.0894765971451014,0.000573946938594549,0.00177032287748756,1.13557223707351e-05,22.3691492862754,0.143486734648637,0.442580719371891,0.00283893059268376,5592.28732156884,35.8716836621592,110.645179842973,0.709732648170941,64133.3128771708,411.382638167234,1268.89795341014,8.13933608323988,69725.6001987396,447.254321829395,1379.54313325312,8.84906873141086,0.0493442892,0.000976292425408858,0.00235533600000001,4.6601070425244e-05
"18","Hib","Alabama","All ages",5054253,4,5,"5 Years",0.878,2.33861878173207,0.115109461931148,0.0462703149551886,0.0022774772440388,2.22168784264546,0.109353988834591,0.0439567992074292,0.00216360338183686,0.0935447512692827,0.00460437847724593,0.00185081259820754,9.10990897615518e-05,23.3861878173207,1.15109461931148,0.462703149551886,0.022774772440388,5846.54695433017,287.773654827871,115.675787387971,5.693693110097,67049.2060783345,3300.23777063465,1326.58982600069,65.2962519018072,72895.7530326647,3588.01142546252,1442.26561338866,70.9899450119042,0.0493442892,0.000976292425408858,0.00235533600000001,4.6601070425244e-05
"19","Hib","Alabama","All ages",5054253,4,10,"10 Years",0.878,2.38561515854697,0.162106872708716,0.0472001531887495,0.00320733593487933,2.26633440061962,0.154001529073281,0.044840145529312,0.00304696913813536,0.0954246063418787,0.00648427490834866,0.00188800612754998,0.000128293437395173,23.8561515854697,1.62106872708717,0.472001531887495,0.0320733593487933,5964.03789636742,405.267181771792,118.000382971874,8.01833983719833,68396.6124100597,4647.67374651417,1353.24868798732,91.9557004074424,74360.6503064272,5052.94092828596,1471.24907095919,99.9740402446407,0.0493442892,0.000976292425408858,0.00235533600000001,4.6601070425244e-05
"20","Hib","Alabama","All ages",5054253,4,20,"20 Years",0.878,2.46865468044718,0.245147270425295,0.0488431164891662,0.0048503165636009,2.34522194642482,0.23288990690403,0.0464009606647079,0.00460780073542085,0.098746187217887,0.00980589081701181,0.00195372465956665,0.000194012662544036,24.6865468044718,2.45147270425295,0.488431164891662,0.048503165636009,6171.63670111794,612.868176063238,122.107791222915,12.1257914090023,70777.3912099331,7028.47765641949,1400.35315228448,139.06066151456,76949.0279110511,7641.34583248273,1522.4609435074,151.186452923562,0.0493442892,0.000976292425408858,0.00235533600000001,4.6601070425244e-05
