"source","disease","vaccine","state_name","year","year_type","vaccine_coverage_estimate","ci_95","sample_size"
"child_vax_view","Hib","Hib","Hawaii",2021,"birth_cohort",94,"90.6 to 96.6",238
"child_vax_view","Hib","Hib","Hawaii",2022,"birth_cohort",88.6,"82.1 to 93.6",140
"child_vax_view","Hib","Hib","Idaho",2019,"birth_cohort",92.5,"88.3 to 95.6",306
"child_vax_view","Hib","Hib","Idaho",2020,"birth_cohort",94.4,"90.9 to 96.9",286
"child_vax_view","Hib","Hib","Idaho",2021,"birth_cohort",91.8,"87.0 to 95.3",251
"child_vax_view","Hib","Hib","Idaho",2022,"birth_cohort",91,"85.0 to 95.3",175
"child_vax_view","Hib","Hib","Illinois",2019,"birth_cohort",92.5,"89.0 to 95.1",548
"child_vax_view","Hib","Hib","Illinois",2020,"birth_cohort",92.9,"89.6 to 95.4",549
"child_vax_view","Hib","Hib","Illinois",2021,"birth_cohort",93.5,"90.9 to 95.5",601
"child_vax_view","Hib","Hib","Illinois",2022,"birth_cohort",94.6,"90.2 to 97.5",282
"child_vax_view","Hib","Hib","Indiana",2019,"birth_cohort",93.9,"88.2 to 97.4",209
"child_vax_view","Hib","Hib","Indiana",2020,"birth_cohort",92.9,"86.9 to 96.8",232
"child_vax_view","Hib","Hib","Indiana",2021,"birth_cohort",90.4,"85.2 to 94.4",228
"child_vax_view","Hib","Hib","Indiana",2022,"birth_cohort",88.6,"80.9 to 94.3",123
"child_vax_view","Hib","Hib","Iowa",2019,"birth_cohort",95.6,"91.2 to 98.1",250
"child_vax_view","Hib","Hib","Iowa",2020,"birth_cohort",93.2,"88.5 to 96.4",271
"child_vax_view","Hib","Hib","Iowa",2021,"birth_cohort",94,"89.5 to 97.0",276
"child_vax_view","Hib","Hib","Iowa",2022,"birth_cohort",97.8,"95.4 to 99.1",178
"child_vax_view","Hib","Hib","Kansas",2019,"birth_cohort",93.5,"90.1 to 96.1",358
"child_vax_view","Hib","Hib","Kansas",2020,"birth_cohort",93.3,"89.3 to 96.2",368
"child_vax_view","Hib","Hib","Kansas",2021,"birth_cohort",90.8,"86.9 to 93.9",390
"child_vax_view","Hib","Hib","Kansas",2022,"birth_cohort",88.9,"83.1 to 93.5",220
"child_vax_view","Hib","Hib","Kentucky",2019,"birth_cohort",94.3,"89.5 to 97.3",271
