"source","state_name","school_year","year","population_size","any_rate","medical_rate","non_medical_rate","any_n","medical_n","non_medical_n"
"school_vax_view","Maine","2020-21",2020,13477,4.5,0.5,4.1,612,64,548
"school_vax_view","Maine","2021-22",2021,12881,1.8,1.5,0.3,232,199,33
"school_vax_view","Maine","2022-23",2022,12403,0.9,0.8,0.1,113,98,15
"school_vax_view","Maine","2023-24",2023,12087,1,0.9,0.1,119,112,7
"school_vax_view","Maine","2024-25",2024,11761,0.8,0.8,NA,97,97,NA
"school_vax_view","Maryland","2019-20",2019,72443,1.4,0.4,1,991,273,718
"school_vax_view","Maryland","2020-21",2020,65764,0.9,0.2,0.8,610,109,501
"school_vax_view","Maryland","2021-22",2021,53866,1.5,0.5,1,801,258,543
"school_vax_view","Maryland","2022-23",2022,59684,1.9,0.5,1.4,1143,307,836
"school_vax_view","Maryland","2023-24",2023,63224,2.2,0.7,1.5,1393,451,942
"school_vax_view","Maryland","2024-25",2024,66135,2.2,0.5,1.7,1472,346,1126
"school_vax_view","Massachusetts","2019-20",2019,66756,1.3,0.2,1.1,890,153,737
"school_vax_view","Massachusetts","2020-21",2020,60724,1.1,0.2,0.9,693,127,566
"school_vax_view","Massachusetts","2021-22",2021,65582,1,0.2,0.9,688,116,572
"school_vax_view","Massachusetts","2022-23",2022,66041,1.4,0.2,1.2,925,112,813
"school_vax_view","Massachusetts","2023-24",2023,65424,1.4,0.2,1.2,939,126,813
"school_vax_view","Massachusetts","2024-25",2024,65581,1.5,0.1,1.3,968,98,870
"school_vax_view","Michigan","2019-20",2019,120565,4.4,0.2,4.2,5320,290,5030
"school_vax_view","Michigan","2020-21",2020,106657,3.7,0.2,3.5,3946,217,3729
"school_vax_view","Michigan","2021-22",2021,114251,4.5,0.2,4.3,5191,266,4925
"school_vax_view","Michigan","2022-23",2022,113678,5.4,0.2,5.2,6180,227,5953
"school_vax_view","Michigan","2023-24",2023,110156,5.6,0.2,5.4,6138,216,5922
"school_vax_view","Michigan","2024-25",2024,107636,6.8,0.3,6.5,7306,277,7029
"school_vax_view","Minnesota","2019-20",2019,71223,3.8,0.2,3.4,2699,133,2565
"school_vax_view","Minnesota","2020-21",2020,66007,2.8,0.1,2.7,1879,82,1797
"school_vax_view","Minnesota","2021-22",2021,69403,3.7,0.1,3.6,2598,93,2504
"school_vax_view","Minnesota","2022-23",2022,68152,4.5,0.1,4.3,3048,100,2948
"school_vax_view","Minnesota","2023-24",2023,66032,5.4,0.2,5.2,3567,110,3456
"school_vax_view","Minnesota","2024-25",2024,64898,5.9,0.2,5.8,3852,117,3735
"school_vax_view","Mississippi","2019-20",2019,37870,0.2,0.2,NA,62,62,NA
"school_vax_view","Mississippi","2020-21",2020,34028,0.1,0.1,NA,39,39,NA
"school_vax_view","Mississippi","2021-22",2021,36524,0.1,0.1,NA,52,52,NA
"school_vax_view","Mississippi","2022-23",2022,36048,0.2,0.2,NA,71,71,NA
"school_vax_view","Mississippi","2023-24",2023,36105,0.7,0.1,0.5,238,52,186
"school_vax_view","Mississippi","2024-25",2024,35293,1.2,0.1,1.1,441,47,394
"school_vax_view","Missouri","2019-20",2019,72324,2.7,0.2,2.5,1970,150,1820
"school_vax_view","Missouri","2020-21",2020,63093,2.5,0.2,2.4,1585,102,1492
"school_vax_view","Missouri","2021-22",2021,71034,3,0.2,2.8,2137,140,1997
"school_vax_view","Missouri","2022-23",2022,69126,3.8,0.2,3.6,2656,133,2523
