"source","vaccine","state_name","season","season_start","month","month_rank","vaccine_coverage_estimate","sample_size"
"cdc_iis","nirsevimab","Connecticut","2024-25",2024,"DEC",4,44.605437407494,25674
"cdc_iis","nirsevimab","Connecticut","2024-25",2024,"JAN",5,49.6827566866477,28527
"cdc_iis","nirsevimab","Connecticut","2024-25",2024,"FEB",6,48.7905924344307,31379
"cdc_iis","nirsevimab","Connecticut","2024-25",2024,"MAR",7,47.3212199111942,34232
"cdc_iis","nirsevimab","Connecticut","2025-26",2025,"SEP",1,NA,NA
"cdc_iis","nirsevimab","Connecticut","2025-26",2025,"OCT",2,NA,NA
"cdc_iis","nirsevimab","Connecticut","2025-26",2025,"NOV",3,NA,NA
"cdc_iis","nirsevimab","Connecticut","2025-26",2025,"DEC",4,NA,NA
"cdc_iis","nirsevimab","Connecticut","2025-26",2025,"JAN",5,NA,NA
"cdc_iis","nirsevimab","Connecticut","2025-26",2025,"FEB",6,NA,NA
"cdc_iis","nirsevimab","Connecticut","2025-26",2025,"MAR",7,NA,NA
"cdc_iis","nirsevimab","Connecticut","2025-26",2025,"APR",8,NA,NA
"cdc_iis","nirsevimab","Delaware","2024-25",2024,"SEP",1,1.02876738426367,5249
"cdc_iis","nirsevimab","Delaware","2024-25",2024,"OCT",2,28.7440796994937,6123
"cdc_iis","nirsevimab","Delaware","2024-25",2024,"NOV",3,39.5255787367819,6998
"cdc_iis","nirsevimab","Delaware","2024-25",2024,"DEC",4,44.0492823574241,7873
"cdc_iis","nirsevimab","Delaware","2024-25",2024,"JAN",5,45.6675811614083,8748
"cdc_iis","nirsevimab","Delaware","2024-25",2024,"FEB",6,45.4479318229058,9622
"cdc_iis","nirsevimab","Delaware","2024-25",2024,"MAR",7,45.898828236639,10497
"cdc_iis","nirsevimab","Delaware","2025-26",2025,"SEP",1,NA,NA
"cdc_iis","nirsevimab","Delaware","2025-26",2025,"OCT",2,NA,NA
"cdc_iis","nirsevimab","Delaware","2025-26",2025,"NOV",3,NA,NA
"cdc_iis","nirsevimab","Delaware","2025-26",2025,"DEC",4,NA,NA
"cdc_iis","nirsevimab","Delaware","2025-26",2025,"JAN",5,NA,NA
"cdc_iis","nirsevimab","Delaware","2025-26",2025,"FEB",6,NA,NA
"cdc_iis","nirsevimab","Delaware","2025-26",2025,"MAR",7,NA,NA
"cdc_iis","nirsevimab","Delaware","2025-26",2025,"APR",8,NA,NA
"cdc_iis","nirsevimab","District of Columbia","2024-25",2024,"SEP",1,1.19228267938435,4613
"cdc_iis","nirsevimab","District of Columbia","2024-25",2024,"OCT",2,24.6050919903364,5381
"cdc_iis","nirsevimab","District of Columbia","2024-25",2024,"NOV",3,31.4471544715447,6150
"cdc_iis","nirsevimab","District of Columbia","2024-25",2024,"DEC",4,33.4441393264923,6919
"cdc_iis","nirsevimab","District of Columbia","2024-25",2024,"JAN",5,33.7799167533819,7688
"cdc_iis","nirsevimab","District of Columbia","2024-25",2024,"FEB",6,33.3491012298959,8456
"cdc_iis","nirsevimab","District of Columbia","2024-25",2024,"MAR",7,32.4227642276423,9225
"cdc_iis","nirsevimab","District of Columbia","2025-26",2025,"SEP",1,3.06962815073621,4007
"cdc_iis","nirsevimab","District of Columbia","2025-26",2025,"OCT",2,45.4214805305948,4674
"cdc_iis","nirsevimab","District of Columbia","2025-26",2025,"NOV",3,52.2650692624485,5342
"cdc_iis","nirsevimab","District of Columbia","2025-26",2025,"DEC",4,53.5440931780366,6010
"cdc_iis","nirsevimab","District of Columbia","2025-26",2025,"JAN",5,52.3659778376759,6678
"cdc_iis","nirsevimab","District of Columbia","2025-26",2025,"FEB",6,51.0142954390742,7345
"cdc_iis","nirsevimab","District of Columbia","2025-26",2025,"MAR",7,49.856483214776,8013
"cdc_iis","nirsevimab","District of Columbia","2025-26",2025,"APR",8,50.1809559465868,8013
"cdc_iis","nirsevimab","Florida","2024-25",2024,"SEP",1,9.94816859326465,109779
"cdc_iis","nirsevimab","Florida","2024-25",2024,"OCT",2,17.4943002592211,128076
"cdc_iis","nirsevimab","Florida","2024-25",2024,"NOV",3,22.3738146640068,146372
"cdc_iis","nirsevimab","Florida","2024-25",2024,"DEC",4,25.5051041786857,164669
"cdc_iis","nirsevimab","Florida","2024-25",2024,"JAN",5,26.6351487989506,182965
"cdc_iis","nirsevimab","Florida","2024-25",2024,"FEB",6,26.3542049666604,201262
"cdc_iis","nirsevimab","Florida","2024-25",2024,"MAR",7,25.9056832363202,219558
"cdc_iis","nirsevimab","Florida","2025-26",2025,"SEP",1,14.4977963349571,112086
"cdc_iis","nirsevimab","Florida","2025-26",2025,"OCT",2,23.5923436340973,130767
