"source","vaccine","state_name","year","year_type","vaccine_coverage_estimate","ci_95","sample_size"
"child_vax_view","PCV","Louisiana",2021,"birth_cohort",79.8,"72.7 to 86.0",428
"child_vax_view","PCV","Louisiana",2022,"birth_cohort",80.5,"70.7 to 88.6",214
"child_vax_view","PCV","Maine",2019,"birth_cohort",88.5,"82.8 to 93.0",244
"child_vax_view","PCV","Maine",2020,"birth_cohort",91.6,"85.7 to 95.8",223
"child_vax_view","PCV","Maine",2021,"birth_cohort",83.2,"77.2 to 88.4",228
"child_vax_view","PCV","Maine",2022,"birth_cohort",80.6,"69.1 to 89.9",133
"child_vax_view","PCV","Maryland",2019,"birth_cohort",85.9,"81.5 to 89.7",614
"child_vax_view","PCV","Maryland",2020,"birth_cohort",89.8,"85.6 to 93.1",494
"child_vax_view","PCV","Maryland",2021,"birth_cohort",87.4,"82.1 to 91.7",525
"child_vax_view","PCV","Maryland",2022,"birth_cohort",90.6,"84.8 to 94.9",268
"child_vax_view","PCV","Massachusetts",2019,"birth_cohort",94.3,"88.4 to 97.7",295
"child_vax_view","PCV","Massachusetts",2020,"birth_cohort",93.3,"87.3 to 97.1",268
"child_vax_view","PCV","Massachusetts",2021,"birth_cohort",94.5,"89.8 to 97.5",277
"child_vax_view","PCV","Massachusetts",2022,"birth_cohort",86.8,"78.9 to 92.9",175
"child_vax_view","PCV","Michigan",2019,"birth_cohort",89.2,"84.5 to 93.0",375
"child_vax_view","PCV","Michigan",2020,"birth_cohort",82.7,"75.8 to 88.6",448
"child_vax_view","PCV","Michigan",2021,"birth_cohort",84.5,"78.4 to 89.7",467
"child_vax_view","PCV","Michigan",2022,"birth_cohort",92,"85.1 to 96.5",251
"child_vax_view","PCV","Minnesota",2019,"birth_cohort",89.8,"84.0 to 94.1",283
"child_vax_view","PCV","Minnesota",2020,"birth_cohort",86.6,"80.6 to 91.4",239
"child_vax_view","PCV","Minnesota",2021,"birth_cohort",85.7,"79.5 to 90.8",278
"child_vax_view","PCV","Minnesota",2022,"birth_cohort",91,"84.7 to 95.4",166
"child_vax_view","PCV","Mississippi",2019,"birth_cohort",83.8,"76.4 to 89.9",324
"child_vax_view","PCV","Mississippi",2020,"birth_cohort",86.9,"78.7 to 93.0",308
"child_vax_view","PCV","Mississippi",2021,"birth_cohort",78.2,"70.0 to 85.4",268
"child_vax_view","PCV","Mississippi",2022,"birth_cohort",79.4,"67.0 to 89.4",160
"child_vax_view","PCV","Missouri",2019,"birth_cohort",78.9,"72.7 to 84.6",402
"child_vax_view","PCV","Missouri",2020,"birth_cohort",87.8,"81.9 to 92.5",390
"child_vax_view","PCV","Missouri",2021,"birth_cohort",84.4,"79.3 to 88.7",387
"child_vax_view","PCV","Missouri",2022,"birth_cohort",86.4,"78.2 to 92.7",194
"child_vax_view","PCV","Montana",2019,"birth_cohort",84.3,"76.2 to 90.8",187
"child_vax_view","PCV","Montana",2020,"birth_cohort",75.2,"67.7 to 82.0",220
"child_vax_view","PCV","Montana",2021,"birth_cohort",80.8,"73.1 to 87.4",219
"child_vax_view","PCV","Montana",2022,"birth_cohort",84.7,"76.3 to 91.4",154
"child_vax_view","PCV","Nebraska",2019,"birth_cohort",89.6,"84.8 to 93.3",259
"child_vax_view","PCV","Nebraska",2020,"birth_cohort",91.2,"87.0 to 94.5",251
"child_vax_view","PCV","Nebraska",2021,"birth_cohort",87.6,"81.8 to 92.3",256
"child_vax_view","PCV","Nebraska",2022,"birth_cohort",93.5,"86.4 to 97.6",148
"child_vax_view","PCV","Nevada",2019,"birth_cohort",83.8,"78.0 to 88.7",340
"child_vax_view","PCV","Nevada",2020,"birth_cohort",79.2,"71.2 to 86.2",323
