source,state_name,school_year,year,exemption_type,exemption_rate,population_size,number_of_exemptions
school_vax_view,District of Columbia,2022-23,2022,non_medical,0.9,8064,74
school_vax_view,District of Columbia,2023-24,2023,any,2.3,7874,181
school_vax_view,District of Columbia,2023-24,2023,medical,0.2,7874,15
school_vax_view,District of Columbia,2023-24,2023,non_medical,2.1,7874,166
school_vax_view,District of Columbia,2024-25,2024,any,2.7,7997,217
school_vax_view,District of Columbia,2024-25,2024,medical,0.3,7997,20
school_vax_view,District of Columbia,2024-25,2024,non_medical,2.5,7997,197
school_vax_view,Florida,2019-20,2019,any,3.4,228298,7758
school_vax_view,Florida,2019-20,2019,medical,0.4,228298,855
school_vax_view,Florida,2019-20,2019,non_medical,3.0,228298,6903
school_vax_view,Florida,2020-21,2020,any,3.1,207026,6425
school_vax_view,Florida,2020-21,2020,medical,0.4,207026,790
school_vax_view,Florida,2020-21,2020,non_medical,2.7,207026,5635
school_vax_view,Florida,2021-22,2021,any,3.9,229432,8944
school_vax_view,Florida,2021-22,2021,medical,0.4,229432,860
school_vax_view,Florida,2021-22,2021,non_medical,3.5,229432,8084
school_vax_view,Florida,2022-23,2022,any,4.5,230309,10326
school_vax_view,Florida,2022-23,2022,medical,0.4,230309,832
school_vax_view,Florida,2022-23,2022,non_medical,4.1,230309,9495
school_vax_view,Florida,2023-24,2023,any,4.8,228213,11031
school_vax_view,Florida,2023-24,2023,medical,0.3,228213,729
school_vax_view,Florida,2023-24,2023,non_medical,4.5,228213,10302
school_vax_view,Florida,2024-25,2024,any,5.1,221053,11287
school_vax_view,Florida,2024-25,2024,medical,0.3,221053,731
school_vax_view,Florida,2024-25,2024,non_medical,4.8,221053,10556
school_vax_view,Georgia,2019-20,2019,any,3.0,130102,3899
school_vax_view,Georgia,2019-20,2019,medical,0.1,130102,158
school_vax_view,Georgia,2019-20,2019,non_medical,2.9,130102,3741
school_vax_view,Georgia,2020-21,2020,any,2.9,83191,2419
school_vax_view,Georgia,2020-21,2020,medical,0.1,83191,61
school_vax_view,Georgia,2020-21,2020,non_medical,2.8,83191,2358
school_vax_view,Georgia,2021-22,2021,any,4.7,118742,5582
school_vax_view,Georgia,2021-22,2021,medical,0.2,118742,204
school_vax_view,Georgia,2021-22,2021,non_medical,4.5,118742,5378
school_vax_view,Georgia,2022-23,2022,any,3.8,123771,4683
school_vax_view,Georgia,2022-23,2022,medical,0.1,123771,147
school_vax_view,Georgia,2022-23,2022,non_medical,3.7,123771,4536
school_vax_view,Georgia,2023-24,2023,any,3.6,136943,4954
school_vax_view,Georgia,2023-24,2023,medical,0.1,136943,128
school_vax_view,Georgia,2023-24,2023,non_medical,3.5,136943,4826
school_vax_view,Georgia,2024-25,2024,any,4.8,114568,5535
school_vax_view,Georgia,2024-25,2024,medical,0.1,114568,94
school_vax_view,Georgia,2024-25,2024,non_medical,4.7,114568,5441
school_vax_view,Hawaii,2019-20,2019,any,6.1,15695,943
school_vax_view,Hawaii,2019-20,2019,medical,0.2,15695,29
school_vax_view,Hawaii,2019-20,2019,non_medical,5.9,15695,913
school_vax_view,Hawaii,2020-21,2020,any,3.7,13074,484
school_vax_view,Hawaii,2020-21,2020,medical,0.2,13074,27
school_vax_view,Hawaii,2020-21,2020,non_medical,3.5,13074,457
school_vax_view,Hawaii,2021-22,2021,any,3.4,13368,449
school_vax_view,Hawaii,2021-22,2021,medical,0.1,13368,7
school_vax_view,Hawaii,2021-22,2021,non_medical,3.3,13368,442
school_vax_view,Hawaii,2022-23,2022,any,6.4,13195,846
school_vax_view,Hawaii,2022-23,2022,medical,0.6,13195,78
school_vax_view,Hawaii,2022-23,2022,non_medical,5.8,13195,768
school_vax_view,Hawaii,2023-24,2023,any,5.3,13995,745
school_vax_view,Hawaii,2023-24,2023,medical,0.1,13995,0
school_vax_view,Hawaii,2023-24,2023,non_medical,5.3,13995,745
school_vax_view,Hawaii,2024-25,2024,any,5.5,13804,765
school_vax_view,Hawaii,2024-25,2024,medical,0.2,13804,21
school_vax_view,Hawaii,2024-25,2024,non_medical,5.4,13804,744
school_vax_view,Idaho,2019-20,2019,any,7.6,23301,1764
school_vax_view,Idaho,2019-20,2019,medical,0.3,23301,75
school_vax_view,Idaho,2019-20,2019,non_medical,7.2,23301,1689
school_vax_view,Idaho,2020-21,2020,any,8.2,22677,1861
school_vax_view,Idaho,2020-21,2020,medical,0.3,22677,64
school_vax_view,Idaho,2020-21,2020,non_medical,7.9,22677,1797
school_vax_view,Idaho,2021-22,2021,any,9.8,23854,2335
school_vax_view,Idaho,2021-22,2021,medical,0.5,23854,128
school_vax_view,Idaho,2021-22,2021,non_medical,9.2,23854,2206
school_vax_view,Idaho,2022-23,2022,any,12.1,23721,2859
school_vax_view,Idaho,2022-23,2022,medical,0.5,23721,126
school_vax_view,Idaho,2022-23,2022,non_medical,11.5,23721,2733
school_vax_view,Idaho,2023-24,2023,any,14.3,22376,3192
school_vax_view,Idaho,2023-24,2023,medical,0.4,22376,91
school_vax_view,Idaho,2023-24,2023,non_medical,13.9,22376,3101
school_vax_view,Idaho,2024-25,2024,any,15.4,22242,3427
school_vax_view,Idaho,2024-25,2024,medical,0.3,22242,64
school_vax_view,Idaho,2024-25,2024,non_medical,15.1,22242,3363
school_vax_view,Illinois,2019-20,2019,any,2.0,145891,2894
school_vax_view,Illinois,2019-20,2019,medical,0.3,145891,407
school_vax_view,Illinois,2019-20,2019,non_medical,1.7,145891,2487
school_vax_view,Illinois,2020-21,2020,any,,,
school_vax_view,Illinois,2020-21,2020,medical,,,
school_vax_view,Illinois,2020-21,2020,non_medical,,,
school_vax_view,Illinois,2021-22,2021,any,1.7,137699,2400
school_vax_view,Illinois,2022-23,2022,any,2.1,135332,2829
school_vax_view,Illinois,2022-23,2022,medical,0.2,135332,291
school_vax_view,Illinois,2022-23,2022,non_medical,1.9,135332,2538
school_vax_view,Illinois,2023-24,2023,any,2.5,133578,3405
school_vax_view,Illinois,2023-24,2023,medical,0.3,133578,364
school_vax_view,Illinois,2023-24,2023,non_medical,2.3,133578,3041
school_vax_view,Illinois,2024-25,2024,any,2.8,132769,3776
school_vax_view,Illinois,2024-25,2024,medical,0.3,132769,399
school_vax_view,Illinois,2024-25,2024,non_medical,2.5,132769,3377
school_vax_view,Indiana,2019-20,2019,any,2.2,88253,1901
school_vax_view,Indiana,2019-20,2019,medical,0.2,88253,199
school_vax_view,Indiana,2019-20,2019,non_medical,1.9,88253,1701
school_vax_view,Indiana,2020-21,2020,any,1.9,78694,1464
school_vax_view,Indiana,2020-21,2020,medical,0.2,78694,131
school_vax_view,Indiana,2020-21,2020,non_medical,1.7,78694,1333
school_vax_view,Indiana,2021-22,2021,any,2.4,83198,1980
school_vax_view,Indiana,2021-22,2021,medical,0.2,83198,141
school_vax_view,Indiana,2021-22,2021,non_medical,2.2,83198,1839
school_vax_view,Indiana,2022-23,2022,any,2.8,81307,2246
school_vax_view,Indiana,2022-23,2022,medical,0.2,81307,175
school_vax_view,Indiana,2022-23,2022,non_medical,2.5,81307,2071
school_vax_view,Indiana,2023-24,2023,any,2.4,80639,1974
school_vax_view,Indiana,2023-24,2023,medical,0.1,80639,75
school_vax_view,Indiana,2023-24,2023,non_medical,2.4,80639,1899
school_vax_view,Indiana,2024-25,2024,any,2.6,73744,1937
school_vax_view,Indiana,2024-25,2024,medical,0.1,73744,86
school_vax_view,Indiana,2024-25,2024,non_medical,2.6,73744,1904
school_vax_view,Iowa,2019-20,2019,any,2.5,40812,1004
school_vax_view,Iowa,2019-20,2019,medical,0.2,40812,68
school_vax_view,Iowa,2019-20,2019,non_medical,2.3,40812,936
school_vax_view,Iowa,2020-21,2020,any,2.2,39141,867
school_vax_view,Iowa,2020-21,2020,medical,0.2,39141,64
school_vax_view,Iowa,2020-21,2020,non_medical,2.1,39141,803
school_vax_view,Iowa,2021-22,2021,any,2.4,40111,962
school_vax_view,Iowa,2021-22,2021,medical,0.1,40111,49
school_vax_view,Iowa,2021-22,2021,non_medical,2.3,40111,913
school_vax_view,Iowa,2022-23,2022,any,3.0,39178,1173
school_vax_view,Iowa,2022-23,2022,medical,0.2,39178,68
school_vax_view,Iowa,2022-23,2022,non_medical,2.8,39178,1105
school_vax_view,Iowa,2023-24,2023,any,3.4,38611,1307
school_vax_view,Iowa,2023-24,2023,medical,0.2,38611,64
