"","Vaccine.Exemption","Dose","Geography.Type","Geography","School.Year","Estimate....","Population.Size","Percent.Surveyed","Footnotes","Number.of.Exemptions","Survey.Type"
"4768","Exemption","Medical Exemption","States","Wisconsin","2013-14","0.1",71363,NA,"",103,"Stratified  2-stage cluster sample"
"4769","Exemption","Medical Exemption","States","Wyoming","2013-14",NA,NA,NA,"",NA,"Not conducted"
"4770","Exemption","Medical Exemption","States","Alabama","2014-15","0.1",59660,NA,"*",59,"Census"
"4771","Exemption","Medical Exemption","States","Alaska","2014-15","1.3",10129,NA,"",135,"Census"
"4772","Exemption","Medical Exemption","States","Arizona","2014-15","0.1",86153,NA,"",126,"Census"
"4773","Exemption","Medical Exemption","States","Arkansas","2014-15","0.1",41252,NA,"<",18,"Census (public); Voluntary response (private)"
"4774","Exemption","Medical Exemption","States","California","2014-15","0.2",552583,NA,"",1066,"Census"
"4775","Exemption","Medical Exemption","States","Colorado","2014-15","0.1",70597,NA,"<",0,"Simple random sample"
"4776","Exemption","Medical Exemption","States","Connecticut","2014-15","0.3",39948,NA,"",114,"Census"
"4777","Exemption","Medical Exemption","States","Delaware","2014-15","0.4",11476,NA,"",46,"Stratified 2-stage cluster sample"
"4778","Exemption","Medical Exemption","States","District of Columbia","2014-15","0.6",7840,NA,"",46,"Census"
"4779","Exemption","Medical Exemption","States","Florida","2014-15","0.3",228982,NA,"",745,"Census"
"4780","Exemption","Medical Exemption","States","Georgia","2014-15","0.1",139471,NA,"",138,"Census"
"4781","Exemption","Medical Exemption","States","Hawaii","2014-15","0.1",20085,NA,"<",0,"Stratified 2-stage cluster sample"
"4782","Exemption","Medical Exemption","States","Idaho","2014-15","0.3",22968,NA,"",68,"Census"
"4783","Exemption","Medical Exemption","States","Illinois","2014-15","0.3",156942,NA,"§",471,"Census"
"4784","Exemption","Medical Exemption","States","Indiana","2014-15","0.5",85477,NA,"",406,"Voluntary response"
"4785","Exemption","Medical Exemption","States","Iowa","2014-15","0.3",43239,NA,"",143,"Census"
"4786","Exemption","Medical Exemption","States","Kansas","2014-15","0.3",39685,NA,"",114,"Census"
"4787","Exemption","Medical Exemption","States","Kentucky","2014-15","0.2",57884,NA,"",116,"Census"
"4788","Exemption","Medical Exemption","States","Louisiana","2014-15","0.1",60377,NA,"",53,"Census"
"4789","Exemption","Medical Exemption","States","Maine","2014-15","0.5",13704,NA,"",63,"Voluntary response (public); Census (private)"
"4790","Exemption","Medical Exemption","States","Maryland","2014-15","0.4",75391,NA,"",336,"Census (public); Voluntary response (private)"
"4791","Exemption","Medical Exemption","States","Massachusetts","2014-15","0.3",74869,NA,"",261,"Census"
"4792","Exemption","Medical Exemption","States","Michigan","2014-15","0.3",117963,NA,"",389,"Census"
"4793","Exemption","Medical Exemption","States","Minnesota","2014-15","0.2",70896,NA,"§",142,"Census"
"4794","Exemption","Medical Exemption","States","Mississippi","2014-15","0.1",44129,NA,"<. *",17,"Census"
"4795","Exemption","Medical Exemption","States","Missouri","2014-15","0.2",75900,NA,"§",152,"Census"
"4796","Exemption","Medical Exemption","States","Montana","2014-15","0.3",12501,NA,"",34,"Census (public); Voluntary response (private)"
"4797","Exemption","Medical Exemption","States","Nebraska","2014-15","0.6",26665,NA,"",150,"Census"
"4798","Exemption","Medical Exemption","States","Nevada","2014-15","0.3",36755,NA,"",92,"Stratified 2-stage cluster sample"
