source,state_name,school_year,year,any_rate,medical_rate,non_medical_rate,population_size,any_n,medical_n,non_medical_n
school_vax_view,Oklahoma,2019-20,2019,2.7,0.1,2.5,55348,1468,73,1395
school_vax_view,Oklahoma,2020-21,2020,2.4,0.2,2.3,52656,1275,87,1188
school_vax_view,Oklahoma,2021-22,2021,3.5,0.2,3.3,54042,1865,86,1779
school_vax_view,Oklahoma,2022-23,2022,4.7,0.4,4.3,52548,2466,204,2261
school_vax_view,Oklahoma,2023-24,2023,5.7,0.2,5.5,49979,2867,99,2768
school_vax_view,Oklahoma,2024-25,2024,5.7,0.3,5.4,47544,2709,119,2589
school_vax_view,Oregon,2019-20,2019,7.1,0.2,6.9,45959,3265,73,3192
school_vax_view,Oregon,2020-21,2020,5.4,0.1,5.3,39568,2118,39,2079
school_vax_view,Oregon,2021-22,2021,7.0,0.1,6.9,41538,2895,43,2852
school_vax_view,Oregon,2022-23,2022,8.2,0.1,8.1,40963,3358,37,3321
school_vax_view,Oregon,2023-24,2023,8.9,0.1,8.8,39568,3532,46,3486
school_vax_view,Oregon,2024-25,2024,9.8,0.1,9.7,38247,3746,31,3715
school_vax_view,Pennsylvania,2019-20,2019,3.0,0.4,2.6,140197,4137,507,3630
school_vax_view,Pennsylvania,2020-21,2020,2.7,0.3,2.5,129307,3530,356,3174
school_vax_view,Pennsylvania,2021-22,2021,3.3,0.3,3.0,139558,4644,466,4178
school_vax_view,Pennsylvania,2022-23,2022,3.8,0.4,3.5,137259,5220,504,4716
school_vax_view,Pennsylvania,2023-24,2023,5.0,0.3,4.7,137593,6877,438,6439
school_vax_view,Pennsylvania,2024-25,2024,6.0,0.3,5.6,140160,8343,464,7878
school_vax_view,Rhode Island,2019-20,2019,1.3,0.2,1.0,11219,141,24,117
school_vax_view,Rhode Island,2020-21,2020,1.0,0.1,0.9,10402,108,10,99
school_vax_view,Rhode Island,2021-22,2021,1.2,0.1,1.1,11002,129,10,119
school_vax_view,Rhode Island,2022-23,2022,1.5,0.1,1.4,10532,154,11,143
school_vax_view,Rhode Island,2023-24,2023,1.7,0.1,1.5,10539,175,15,159
school_vax_view,Rhode Island,2024-25,2024,1.9,0.2,1.7,10088,192,20,172
school_vax_view,South Carolina,2019-20,2019,2.6,0.2,2.5,65938,1731,115,1616
school_vax_view,South Carolina,2020-21,2020,2.4,0.2,2.3,56330,1380,92,1288
school_vax_view,South Carolina,2021-22,2021,3.4,0.2,3.2,58276,1994,124,1870
school_vax_view,South Carolina,2022-23,2022,4.1,0.2,3.9,58878,2419,138,2281
school_vax_view,South Carolina,2023-24,2023,4.4,0.2,4.2,58069,2556,108,2448
school_vax_view,South Carolina,2024-25,2024,4.6,0.1,4.5,57718,2681,80,2601
school_vax_view,South Dakota,2019-20,2019,2.7,0.1,2.6,12367,337,18,319
school_vax_view,South Dakota,2020-21,2020,3.4,0.1,3.2,11512,389,16,373
school_vax_view,South Dakota,2021-22,2021,3.5,0.1,3.4,12251,434,18,416
school_vax_view,South Dakota,2022-23,2022,4.1,0.1,4.0,12081,499,11,488
school_vax_view,South Dakota,2023-24,2023,5.7,0.2,5.4,11744,664,27,637
school_vax_view,South Dakota,2024-25,2024,6.8,0.1,6.7,11367,768,7,761
school_vax_view,Tennessee,2019-20,2019,2.0,0.1,1.9,80595,1610,101,1509
school_vax_view,Tennessee,2020-21,2020,1.9,0.1,1.8,73819,1419,87,1332
school_vax_view,Tennessee,2021-22,2021,2.4,0.1,2.3,79120,1927,93,1834
school_vax_view,Tennessee,2022-23,2022,3.2,0.2,3.0,79692,2529,122,2407
