"source","vaccine","state_name","year","year_type","school_year","vaccine_coverage_estimate","ci_95","sample_size"
"school_vax_view","DTP, DTaP, or DT","Mississippi",2022,"school_year","2022-23",98.4,NA,36048
"school_vax_view","DTP, DTaP, or DT","Mississippi",2023,"school_year","2023-24",97.5,NA,36105
"school_vax_view","DTP, DTaP, or DT","Mississippi",2024,"school_year","2024-25",97.6,NA,35293
"school_vax_view","DTP, DTaP, or DT","Missouri",2019,"school_year","2019-20",94.5,NA,72324
"school_vax_view","DTP, DTaP, or DT","Missouri",2020,"school_year","2020-21",92.6,NA,63093
"school_vax_view","DTP, DTaP, or DT","Missouri",2021,"school_year","2021-22",91.5,NA,71034
"school_vax_view","DTP, DTaP, or DT","Missouri",2022,"school_year","2022-23",91.1,NA,69126
"school_vax_view","DTP, DTaP, or DT","Missouri",2023,"school_year","2023-24",90.5,NA,69014
"school_vax_view","DTP, DTaP, or DT","Missouri",2024,"school_year","2024-25",90,NA,68163
"school_vax_view","DTP, DTaP, or DT","Montana",2019,"school_year","2019-20",93.2,NA,12501
"school_vax_view","DTP, DTaP, or DT","Montana",2020,"school_year","2020-21",91.9,NA,11279
"school_vax_view","DTP, DTaP, or DT","Nebraska",2019,"school_year","2019-20",96.9,NA,26893
"school_vax_view","DTP, DTaP, or DT","Nebraska",2020,"school_year","2020-21",96.1,NA,25681
"school_vax_view","DTP, DTaP, or DT","Nebraska",2021,"school_year","2021-22",96.6,NA,25018
"school_vax_view","DTP, DTaP, or DT","Nebraska",2022,"school_year","2022-23",95.7,NA,23176
"school_vax_view","DTP, DTaP, or DT","Nebraska",2023,"school_year","2023-24",95.2,NA,23118
"school_vax_view","DTP, DTaP, or DT","Nebraska",2024,"school_year","2024-25",95.1,NA,24102
"school_vax_view","DTP, DTaP, or DT","Nevada",2019,"school_year","2019-20",94,NA,37724
"school_vax_view","DTP, DTaP, or DT","Nevada",2020,"school_year","2020-21",95.4,NA,34171
"school_vax_view","DTP, DTaP, or DT","Nevada",2021,"school_year","2021-22",91.5,NA,36855
"school_vax_view","DTP, DTaP, or DT","Nevada",2022,"school_year","2022-23",92.2,NA,34333
"school_vax_view","DTP, DTaP, or DT","Nevada",2023,"school_year","2023-24",91.1,NA,31261
"school_vax_view","DTP, DTaP, or DT","Nevada",2024,"school_year","2024-25",90.3,NA,33272
"school_vax_view","DTP, DTaP, or DT","New Hampshire",2019,"school_year","2019-20",91.5,NA,12447
"school_vax_view","DTP, DTaP, or DT","New Hampshire",2020,"school_year","2020-21",90.8,NA,10242
"school_vax_view","DTP, DTaP, or DT","New Hampshire",2021,"school_year","2021-22",88.7,NA,12157
"school_vax_view","DTP, DTaP, or DT","New Hampshire",2022,"school_year","2022-23",89.4,NA,11332
"school_vax_view","DTP, DTaP, or DT","New Hampshire",2023,"school_year","2023-24",89.2,NA,11871
"school_vax_view","DTP, DTaP, or DT","New Hampshire",2024,"school_year","2024-25",89.2,NA,11713
"school_vax_view","DTP, DTaP, or DT","New Jersey",2019,"school_year","2019-20",95.9,NA,107900
"school_vax_view","DTP, DTaP, or DT","New Jersey",2020,"school_year","2020-21",94.3,NA,100144
"school_vax_view","DTP, DTaP, or DT","New Jersey",2021,"school_year","2021-22",94.1,NA,104240
"school_vax_view","DTP, DTaP, or DT","New Jersey",2022,"school_year","2022-23",94.3,NA,104468
"school_vax_view","DTP, DTaP, or DT","New Jersey",2023,"school_year","2023-24",93.2,NA,105408
"school_vax_view","DTP, DTaP, or DT","New Jersey",2024,"school_year","2024-25",92.8,NA,104339
"school_vax_view","DTP, DTaP, or DT","New Mexico",2019,"school_year","2019-20",96.7,NA,23087
"school_vax_view","DTP, DTaP, or DT","New Mexico",2020,"school_year","2020-21",95.7,NA,20589
"school_vax_view","DTP, DTaP, or DT","New Mexico",2021,"school_year","2021-22",94,NA,20736
"school_vax_view","DTP, DTaP, or DT","New Mexico",2022,"school_year","2022-23",94.7,NA,21068
"school_vax_view","DTP, DTaP, or DT","New Mexico",2023,"school_year","2023-24",94.8,NA,20699
"school_vax_view","DTP, DTaP, or DT","New Mexico",2024,"school_year","2024-25",94.5,NA,20180
"school_vax_view","DTP, DTaP, or DT","New York",2019,"school_year","2019-20",97.8,NA,234165
"school_vax_view","DTP, DTaP, or DT","New York",2020,"school_year","2020-21",97.8,NA,216804
"school_vax_view","DTP, DTaP, or DT","New York",2021,"school_year","2021-22",97.3,NA,195377
"school_vax_view","DTP, DTaP, or DT","New York",2022,"school_year","2022-23",97.2,NA,205906
"school_vax_view","DTP, DTaP, or DT","New York",2023,"school_year","2023-24",96.8,NA,200894
"school_vax_view","DTP, DTaP, or DT","New York",2024,"school_year","2024-25",97.2,NA,234054
"school_vax_view","DTP, DTaP, or DT","North Carolina",2019,"school_year","2019-20",95.5,NA,124548
"school_vax_view","DTP, DTaP, or DT","North Carolina",2020,"school_year","2020-21",95.2,NA,120995
"school_vax_view","DTP, DTaP, or DT","North Carolina",2021,"school_year","2021-22",96,NA,118191
"school_vax_view","DTP, DTaP, or DT","North Carolina",2022,"school_year","2022-23",93.7,NA,125679
"school_vax_view","DTP, DTaP, or DT","North Carolina",2023,"school_year","2023-24",93.5,NA,125964
"school_vax_view","DTP, DTaP, or DT","North Carolina",2024,"school_year","2024-25",94,NA,124028
"school_vax_view","DTP, DTaP, or DT","North Dakota",2019,"school_year","2019-20",94.4,NA,10587
"school_vax_view","DTP, DTaP, or DT","North Dakota",2020,"school_year","2020-21",93.1,NA,10116
"school_vax_view","DTP, DTaP, or DT","North Dakota",2021,"school_year","2021-22",91.4,NA,10755
"school_vax_view","DTP, DTaP, or DT","North Dakota",2022,"school_year","2022-23",91.8,NA,10554
"school_vax_view","DTP, DTaP, or DT","North Dakota",2023,"school_year","2023-24",90.5,NA,9708
"school_vax_view","DTP, DTaP, or DT","North Dakota",2024,"school_year","2024-25",89.7,NA,9659
"school_vax_view","DTP, DTaP, or DT","Ohio",2019,"school_year","2019-20",92.3,NA,139103
"school_vax_view","DTP, DTaP, or DT","Ohio",2020,"school_year","2020-21",89,NA,128535
"school_vax_view","DTP, DTaP, or DT","Ohio",2021,"school_year","2021-22",88.5,NA,139077
"school_vax_view","DTP, DTaP, or DT","Ohio",2022,"school_year","2022-23",89.4,NA,134893
"school_vax_view","DTP, DTaP, or DT","Ohio",2023,"school_year","2023-24",89.3,NA,133716
"school_vax_view","DTP, DTaP, or DT","Ohio",2024,"school_year","2024-25",88.8,NA,131589
"school_vax_view","DTP, DTaP, or DT","Oklahoma",2019,"school_year","2019-20",93.9,NA,55348
"school_vax_view","DTP, DTaP, or DT","Oklahoma",2020,"school_year","2020-21",90.3,NA,52656
"school_vax_view","DTP, DTaP, or DT","Oklahoma",2021,"school_year","2021-22",91.1,NA,54042
"school_vax_view","DTP, DTaP, or DT","Oklahoma",2022,"school_year","2022-23",90,NA,52548
"school_vax_view","DTP, DTaP, or DT","Oklahoma",2023,"school_year","2023-24",89,NA,49979
"school_vax_view","DTP, DTaP, or DT","Oklahoma",2024,"school_year","2024-25",89.5,NA,47544
"school_vax_view","DTP, DTaP, or DT","Oregon",2019,"school_year","2019-20",92.6,NA,45959
"school_vax_view","DTP, DTaP, or DT","Oregon",2020,"school_year","2020-21",91.6,NA,39568
"school_vax_view","DTP, DTaP, or DT","Oregon",2021,"school_year","2021-22",92,NA,41538
"school_vax_view","DTP, DTaP, or DT","Oregon",2022,"school_year","2022-23",90.9,NA,40963
"school_vax_view","DTP, DTaP, or DT","Oregon",2023,"school_year","2023-24",90.5,NA,39568
"school_vax_view","DTP, DTaP, or DT","Oregon",2024,"school_year","2024-25",89.6,NA,38247
"school_vax_view","DTP, DTaP, or DT","Pennsylvania",2019,"school_year","2019-20",96.8,NA,140197
"school_vax_view","DTP, DTaP, or DT","Pennsylvania",2020,"school_year","2020-21",95.9,NA,129307
"school_vax_view","DTP, DTaP, or DT","Pennsylvania",2021,"school_year","2021-22",95.4,NA,139558
"school_vax_view","DTP, DTaP, or DT","Pennsylvania",2022,"school_year","2022-23",94.3,NA,137259
"school_vax_view","DTP, DTaP, or DT","Pennsylvania",2023,"school_year","2023-24",93.8,NA,137593
"school_vax_view","DTP, DTaP, or DT","Pennsylvania",2024,"school_year","2024-25",92.7,NA,140160
"school_vax_view","DTP, DTaP, or DT","Rhode Island",2019,"school_year","2019-20",97.4,NA,11219
"school_vax_view","DTP, DTaP, or DT","Rhode Island",2020,"school_year","2020-21",96.8,NA,10402
"school_vax_view","DTP, DTaP, or DT","Rhode Island",2021,"school_year","2021-22",97,NA,11002
"school_vax_view","DTP, DTaP, or DT","Rhode Island",2022,"school_year","2022-23",96.9,NA,10532
"school_vax_view","DTP, DTaP, or DT","Rhode Island",2023,"school_year","2023-24",96.9,NA,10539
