state,mode_of_action,reduced_reliance_acip,alternative_bodies,vaccines_impacted,action_expiration,source_url,cost_sharing_prohibited,basis_of_coverage_mandate,pharmacist_vax_authority,min_age_pharmacist_vax,exemptions_allowed,governor_party,legislative_control_party,session_convene,session_adjourn,has_source_link,source_year,source_tracker_url
Hawaii,Emergency Proclamation,Yes,,COVID-19,11/22/2025,https://governor.hawaii.gov/wp-content/uploads/2025/09/2509078-ATG_Proclamation-Relating-to-Pharmacist-Provided-Vaccination-Services.pdf,Includes Non-ACIP,Commissioner's Guidance,Independent Authority,Pharmacists in Hawaii may independently prescribe and administer all ACIP-recommended vaccines to individuals age 3 and older.,Allows religious and medical exemptions,Democratic,Democratic,01/21/2026,05/08/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Hawaii,Emergency Proclamation,,,COVID-19,01/17/2026,https://governor.hawaii.gov/wp-content/uploads/2025/11/2511051.pdf,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Hawaii,Statement,,AAP,Childhood Vaccines,,https://www.cdph.ca.gov/Programs/OPA/Pages/NR26-001.aspx,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Idaho,,No,,,,,ACIP-Recommended,ACIP-Recommended,Independent Authority,Pharmacists may prescribe and administer all vaccines to indivudals of all ages.,"Allows religious, personal belief and medical exemptions",Republican,Republican,01/12/2026,04/02/2026,FALSE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Illinois,Standing Order,Yes,,COVID-19,09/22/2026,https://dph.illinois.gov/content/dam/soi/en/web/idph/resources/topics-services/prevention-wellness/immunization/2025-26-covid19-vaccination-standing-order.pdf,Includes Non-ACIP,ACIP; IDPH Recommendations,Independent Authority,Pharmacists in Illinois may independently administer COVID-19 and influenza vaccines. They may also administer all CDC-recommended vaccines to individuals age 7 and older under a physician standing order.,Allows religious and medical exemptions,Democratic,Democratic,01/14/2026,Meet throughout year,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Illinois,Insurance Bulletin,,,All,Expired,https://www.isms.org/newsroom-categories/insurance/nov-21-2025-emergency-rule-directs-insurers-to-cov,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Illinois,Legislation,,State-Based Authority,All,,https://www.ilga.gov/Legislation/BillStatus?GAID=18&DocNum=767&DocTypeID=HB&LegId=156445&SessionID=114,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Illinois,Vaccine Guidance,,AAP,Childhood Vaccines,,https://dph.illinois.gov/resource-center/news/2026/february/release-20260205.html,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Indiana,,No,,,,,ACIP-Recommended,ACIP-Recommended,Collaborative Authority,Pharmacists in Indiana may administer all ACIP-recommended vaccines to individuals age 11 and older under a statewide standing order. They may also administer all ACIP-recommended vaccines to individuals of any age with a patient-specific prescription.,Allows religious and medical exemptions,Republican,Republican,01/05/2026,03/14/2026,FALSE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Iowa,,No,,,,,Includes Non-ACIP,Commissioner's Guidance,Independent Authority,Pharmacists in Iowa may independently prescribe and administer influenza vaccines for individuals 6 months+ and other CDC Adult Immunization Schedule vaccines (including Tdap and COVID-19) for those 18+. They may also administer the final two doses of the HPV vaccine to individuals age 11 and older.,Allows religious and medical exemptions,Republican,Republican,01/12/2026,04/21/2026,FALSE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Kansas,Vaccine Guidance,Yes,"AAP, AAFP",Childhood Vaccines,,https://www.coronavirus.kdheks.gov/214/Immunizations?utm_source=chatgpt.com,ACIP-Recommended,ACIP-Recommended,Collaborative Authority,Pharmacists in Kansas may administer influenza vaccines to individuals age 6+ and all ACIP-recommended vaccines to those 12+ under a vaccination protocol with a licensed physician.,Allows religious and medical exemptions,Democratic,Republican,01/12/2026,04/10/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Kentucky,Pharmacy Board Directive,Yes,,COVID-19,,https://pharmacy.ky.gov/Documents/KBoP%20COVID-19%20Vaccine%20Guidance%20Sept%202%202025.pdf,ACIP-Recommended,ACIP-Recommended,Collaborative Authority,Pharmacists in Kentucky may administer vaccines to individuals age 5 and older under a prescriber-approved protocol. They may also administer all vaccines to individuals of any age with a patient-specific prescription.,Allows religious and medical exemptions,Democratic,Republican,01/06/2026,04/15/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Louisiana,,No,,,,,ACIP-Recommended,ACIP-Recommended,Independent Authority,Pharmacists in Louisiana may independently prescribe and administer influenza vaccines to individuals age 7+ and other ACIP-recommended vaccines to those 17+. They may also administer all ACIP-recommended vaccines to individuals of any age with a patient-specific prescription.,"Allows religious, personal belief and medical exemptions",Republican,Republican,03/09/2026,06/01/2026,FALSE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Maine,Standing Order,Yes,"AAP, ACOG, AAFP",COVID-19,,https://www.maine.gov/dhhs/mecdc/sites/maine.gov.dhhs.mecdc/files/documents/Maine%20CDC%20Standing%20Order%20for%20Administration%20of%202025%E2%80%932026%20COVID-19%20Vaccines.pdf,Includes Non-ACIP,"Clinical Guidelines (AAP, AAFP, ACOG) ; Maine Vaccine Board Determination",Collaborative Authority,Pharmacists in Maine may administer influenza and COVID-19 vaccines to individuals age 3+ and other ACIP-recommended vaccines to those 18+ under a treatment protocol with a pharmacist through a collaborative practice agreement. They may also administer other FDA-approved vaccines to individuals 18+ with a patient-specific prescription.,"No exemptions allowed, unless medical",Democratic,Democratic,01/07/2026,04/15/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Maine,Insurance Bulletin,,"AAP, ACOG, AAFP",COVID-19,,https://www.maine.gov/pfr/insurance/sites/maine.gov.pfr.insurance/files/inline-files/486.pdf,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Maine,LD 93,,,All,,https://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0058&item=2&snum=132,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Maryland,Standing Order,Yes,"AAP, ACOG, AAFP",COVID-19,09/18/2026,https://health.maryland.gov/mbon/Documents/MDH-Standing-Order-2025-2026-COVID-Vaccine.pdf,Includes Non-ACIP,"Previous ACIP recommendations (Dec 31, 2024)",Collaborative Authority,Pharmacists in Maryland may independently order and administer influenza and COVID-19 vaccines used in a public health emergency for individuals age 3+. They may also administer other FDA-approved vaccines to individuals 7+ and CDC-recommended travel vaccines to those 18+.,Allows religious and medical exemptions,Democratic,Democratic,01/14/2026,04/13/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Maryland,Vaccine Guidance,,AAP,Childhood Vaccines,,https://health.maryland.gov/phpa/OIDEOR/IMMUN/Pages/FAQs.aspx,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Maryland,Vaccine Guidance,,"AAP, ACOG, AAFP",Hep B,,https://health.maryland.gov/phpa/OIDEOR/IMMUN/Shared%20Documents/MDH%20HBV%20Vaccine%20Clinician%20Letter%20Dec%205.pdf,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Massachusetts,Standing Order,Yes,,COVID-19,,https://www.mass.gov/news/standing-order-for-dispensing-and-administration-of-covid-19-vaccine-2025-2026,Includes Non-ACIP,"Clinical Guidelines (AAP, AAFP, ACOG); Commissioner Determination/State Guidance for Childhood Vaccines",Independent Authority,Pharmacists in Massachusetts may administer influenza and COVID-19 vaccines to individuals age 5+ under a practitioner’s order. They may also administer all other vaccines to individuals 18+ under a collaborative practice agreement.,Allows religious and medical exemptions,Democratic,Democratic,01/01/2026,Meet throughout year,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Massachusetts,Insurance Bulletin,,,All,,https://www.mass.gov/doc/coverage-for-vaccines-bulletin/download,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Massachusetts,H.4761,,State-Based Authority,All,,https://malegislature.gov/Bills/194/H4761,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Michigan,Executive Directive,Yes,,COVID-19,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2025/09/17/executive-directive-2025-7-ensuring-access-to-covid-19-vaccines,ACIP-Recommended,ACIP-Recommended,Independent Authority,Pharmacists in Michigan may independently order and administer all ACIP-recommended vaccines to individuals age 3+. They may also administer other FDA-licensed vaccines under a collaborative practice agreement.,"Allows religious, personal belief and medical exemptions",Democratic,"Split; Democratic Senate, Republican House",01/14/2026,Meet throughout year,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Michigan,Standing Recommendation,,,COVID-19,,https://www.michigan.gov/mdhhs/-/media/Project/Websites/mdhhs/CME-Standing-Recommendation-Regarding-2025-COVID-19-Vaccines-FINAL-436pm_09182025.pdf,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Michigan,Insurance Bulletin,,,COVID-19,,https://www.michigan.gov/difs/-/media/Project/Websites/difs/Bulletins/2025/Bulletin_2025-23-INS.pdf?rev=4fb94ad53a4e4747b08f21e309263870,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Michigan,Statement,,"AAP, AAFP",Childhood Vaccines,,https://www.michigan.gov/mdhhs/inside-mdhhs/newsroom/2026/01/06/vaccines-state,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Minnesota,Executive Order,Yes,,COVID-19,,https://mn.gov/governor/assets/Executive%20Order%2025-09_tcm1055-704329.pdf,ACIP-Recommended,ACIP-Recommended,Independent Authority,Pharmacists in Minnesota may independently prescribe and administer influenza and COVID-19 vaccines to individuals age 3+. They may also administer all other ACIP-recommended vaccines to individuals age 6 and older.,Allows personal belief exemption,Democratic,"Split; Democratc Senate, Republican House",02/17/2026,05/18/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Minnesota,Standing Order,,"AAP, ACOG, AAFP, IDSA",COVID-19,09/21/2026,https://www.health.state.mn.us/people/immunize/hcp/cov12to64y25.pdf,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Minnesota,Vaccine Guidance,,"AAP, ACOG, AAFP",All,,https://www.health.state.mn.us/news/pressrel/2026/immuniz010826.html,,,,,,,,,,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Mississippi,Vaccine Guidance,Yes,,Hep B,12/12/2025,https://msdh.ms.gov/msdhsite/_static/resources/21461.pdf,ACIP-Recommended,ACIP-Recommended,Collaborative Authority,Pharmacists in Mississippi may administer all vaccines to individuals of any age with a patient-specific prescription. They may also administer vaccines under a collaborative practice agreement with a physician in institutional settings or for individual patients.,Allows religious and medical exemptions,Republican,Republican,01/06/2026,04/05/2026,TRUE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Missouri,,No,,,,,ACIP-Recommended,ACIP-Recommended,Collaborative Authority,"Pharmacists in Missouri may independently prescribe and administer FDA-approved vaccines to individuals age 7 and older, excluding vaccines for cholera, monkeypox, Japanese encephalitis, typhoid, rabies, yellow fever, tick-borne encephalitis, anthrax, tuberculosis, dengue, Hib, polio, rotavirus, smallpox, and any vaccine approved after January 1, 2023. They may also administer all vaccines to individuals of any age with a patient-specific prescription.",Allows religious and medical exemptions,Republican,Republican,01/07/2026,05/15/2026,FALSE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Montana,,No,,,,,ACIP-Recommended,ACIP-Recommended,Independent Authority,"Pharmacists in Montana may independently prescribe and administer influenza vaccines to individuals 12+, pneumococcal/Tdap vaccines to those 18+, and shingles vaccines to all ages per CDC guidance. They may also prescribe and administer ACIP-recommended vaccines to individuals age 7+ under a collaborative practice agreement.",Allows religious and medical exemptions,Republican,Republican,No regular session,No regular session,FALSE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
Nebraska,,No,,,,,ACIP-Recommended,ACIP-Recommended,Collaborative Authority,Pharmacists in Nebraska may prescribe and administer vaccines under a practice agreement and written protocol with a licensed healthcare practitioner.,Allows religious and medical exemptions,Republican,Republican,01/07/2026,04/17/2026,FALSE,2026,https://script.google.com/macros/s/AKfycbxpQ_nuXzoO9RcrPjc0GLdmhj7VVpuyyShe5YnC9Zdh29Z6m64w-_GApGp_CGOZHtxZ7g/exec
