"state_fips_code","state_name","age_group_population","age_group"
"25","Massachusetts",499911,"75+"
"26","Michigan",719425,"75+"
"27","Minnesota",390184,"75+"
"28","Mississippi",194827,"75+"
"29","Missouri",438931,"75+"
"30","Montana",83175,"75+"
"31","Nebraska",130826,"75+"
"32","Nevada",201549,"75+"
"33","New Hampshire",105029,"75+"
"34","New Jersey",650833,"75+"
"35","New Mexico",157969,"75+"
"36","New York",1450400,"75+"
"37","North Carolina",705592,"75+"
"38","North Dakota",53110,"75+"
"39","Ohio",839768,"75+"
"40","Oklahoma",259486,"75+"
"41","Oregon",307878,"75+"
"42","Pennsylvania",1026302,"75+"
"44","Rhode Island",82855,"75+"
"45","South Carolina",373609,"75+"
"46","South Dakota",61826,"75+"
"47","Tennessee",459241,"75+"
"48","Texas",1505891,"75+"
"49","Utah",149216,"75+"
"50","Vermont",52206,"75+"
"51","Virginia",567568,"75+"
"53","Washington",487249,"75+"
"54","West Virginia",146322,"75+"
"55","Wisconsin",419886,"75+"
"56","Wyoming",38994,"75+"
"72","Puerto Rico",357310,"75+"
"1","United States",22676920,"75+"
