"source","vaccine","state_name","year","year_type","vaccine_coverage_estimate","ci_95","sample_size"
"child_vax_view","Rotavirus","New York",2019,"birth_cohort",77.7,"72.6 to 82.1",637
"child_vax_view","Rotavirus","New York",2020,"birth_cohort",77.6,"72.9 to 81.7",624
"child_vax_view","Rotavirus","New York",2021,"birth_cohort",73.1,"68.0 to 77.7",640
"child_vax_view","Rotavirus","New York",2022,"birth_cohort",69.5,"62.7 to 75.5",360
"child_vax_view","Rotavirus","North Carolina",2019,"birth_cohort",86.2,"81.0 to 90.2",314
"child_vax_view","Rotavirus","North Carolina",2020,"birth_cohort",76.4,"70.4 to 81.5",459
"child_vax_view","Rotavirus","North Carolina",2021,"birth_cohort",83.3,"78.1 to 87.4",435
"child_vax_view","Rotavirus","North Carolina",2022,"birth_cohort",69.9,"60.1 to 78.2",207
"child_vax_view","Rotavirus","North Dakota",2019,"birth_cohort",82.8,"76.5 to 87.7",263
"child_vax_view","Rotavirus","North Dakota",2020,"birth_cohort",80.5,"73.7 to 85.9",248
"child_vax_view","Rotavirus","North Dakota",2021,"birth_cohort",76.5,"68.6 to 83.0",233
"child_vax_view","Rotavirus","North Dakota",2022,"birth_cohort",78.8,"70.2 to 85.4",151
"child_vax_view","Rotavirus","Ohio",2019,"birth_cohort",78.4,"71.9 to 83.7",384
"child_vax_view","Rotavirus","Ohio",2020,"birth_cohort",75.6,"69.8 to 80.6",484
"child_vax_view","Rotavirus","Ohio",2021,"birth_cohort",76.4,"70.3 to 81.6",418
"child_vax_view","Rotavirus","Ohio",2022,"birth_cohort",81.9,"74.6 to 87.4",237
"child_vax_view","Rotavirus","Oklahoma",2019,"birth_cohort",74.3,"65.6 to 81.5",205
"child_vax_view","Rotavirus","Oklahoma",2020,"birth_cohort",71.1,"63.9 to 77.3",298
"child_vax_view","Rotavirus","Oklahoma",2021,"birth_cohort",68.5,"61.2 to 75.0",236
"child_vax_view","Rotavirus","Oklahoma",2022,"birth_cohort",64.4,"52.6 to 74.6",120
"child_vax_view","Rotavirus","Oregon",2019,"birth_cohort",80.8,"72.9 to 86.8",264
"child_vax_view","Rotavirus","Oregon",2020,"birth_cohort",72.7,"64.9 to 79.3",220
"child_vax_view","Rotavirus","Oregon",2021,"birth_cohort",72.4,"65.8 to 78.1",255
"child_vax_view","Rotavirus","Oregon",2022,"birth_cohort",75,"65.7 to 82.5",152
"child_vax_view","Rotavirus","Pennsylvania",2019,"birth_cohort",79.1,"74.0 to 83.4",641
"child_vax_view","Rotavirus","Pennsylvania",2020,"birth_cohort",77.8,"72.0 to 82.7",655
"child_vax_view","Rotavirus","Pennsylvania",2021,"birth_cohort",79.9,"75.4 to 83.8",668
"child_vax_view","Rotavirus","Pennsylvania",2022,"birth_cohort",79.9,"73.7 to 84.9",359
"child_vax_view","Rotavirus","Puerto Rico",2019,"birth_cohort",53.8,"46.8 to 60.7",319
"child_vax_view","Rotavirus","Puerto Rico",2020,"birth_cohort",55.7,"49.0 to 62.2",337
"child_vax_view","Rotavirus","Puerto Rico",2021,"birth_cohort",62.4,"54.6 to 69.5",338
"child_vax_view","Rotavirus","Puerto Rico",2022,"birth_cohort",57,"46.4 to 67.1",185
"child_vax_view","Rotavirus","Rhode Island",2019,"birth_cohort",90.8,"85.5 to 94.3",277
"child_vax_view","Rotavirus","Rhode Island",2020,"birth_cohort",91.7,"87.3 to 94.7",301
"child_vax_view","Rotavirus","Rhode Island",2021,"birth_cohort",84.9,"80.1 to 88.8",354
"child_vax_view","Rotavirus","Rhode Island",2022,"birth_cohort",81.2,"74.3 to 86.6",201
"child_vax_view","Rotavirus","South Carolina",2019,"birth_cohort",80.8,"72.7 to 87.0",245
"child_vax_view","Rotavirus","South Carolina",2020,"birth_cohort",79.7,"71.4 to 86.0",243
"child_vax_view","Rotavirus","South Carolina",2021,"birth_cohort",75.2,"68.6 to 80.8",300
"child_vax_view","Rotavirus","South Carolina",2022,"birth_cohort",84.4,"75.2 to 90.7",160
"child_vax_view","Rotavirus","South Dakota",2019,"birth_cohort",81.8,"76.3 to 86.2",318
"child_vax_view","Rotavirus","South Dakota",2020,"birth_cohort",78.4,"70.7 to 84.5",289
"child_vax_view","Rotavirus","South Dakota",2021,"birth_cohort",73.4,"65.0 to 80.4",279
"child_vax_view","Rotavirus","South Dakota",2022,"birth_cohort",76.6,"65.6 to 84.9",145
"child_vax_view","Rotavirus","Tennessee",2019,"birth_cohort",73.9,"67.8 to 79.3",396
"child_vax_view","Rotavirus","Tennessee",2020,"birth_cohort",70.1,"62.2 to 76.9",363
"child_vax_view","Rotavirus","Tennessee",2021,"birth_cohort",75.2,"69.1 to 80.4",336
"child_vax_view","Rotavirus","Tennessee",2022,"birth_cohort",61.9,"51.9 to 70.9",182
"child_vax_view","Rotavirus","Texas",2019,"birth_cohort",74.9,"69.8 to 79.5",919
"child_vax_view","Rotavirus","Texas",2020,"birth_cohort",74.4,"68.7 to 79.4",795
"child_vax_view","Rotavirus","Texas",2021,"birth_cohort",71.5,"66.2 to 76.2",814
"child_vax_view","Rotavirus","Texas",2022,"birth_cohort",65.4,"58.6 to 71.6",541
"child_vax_view","Rotavirus","United States",2019,"birth_cohort",76.4,"75.1 to 77.7",17265
"child_vax_view","Rotavirus","United States",2020,"birth_cohort",75.1,"73.8 to 76.4",17387
"child_vax_view","Rotavirus","United States",2021,"birth_cohort",74.5,"73.3 to 75.7",17612
"child_vax_view","Rotavirus","United States",2022,"birth_cohort",73.8,"72.0 to 75.4",9780
"child_vax_view","Rotavirus","Utah",2019,"birth_cohort",84.5,"79.1 to 88.6",330
"child_vax_view","Rotavirus","Utah",2020,"birth_cohort",76.3,"70.4 to 81.4",333
"child_vax_view","Rotavirus","Utah",2021,"birth_cohort",74.8,"68.5 to 80.2",332
"child_vax_view","Rotavirus","Utah",2022,"birth_cohort",79.5,"69.9 to 86.6",149
"child_vax_view","Rotavirus","Vermont",2019,"birth_cohort",81.5,"76.0 to 86.0",334
"child_vax_view","Rotavirus","Vermont",2020,"birth_cohort",85,"80.1 to 88.9",307
"child_vax_view","Rotavirus","Vermont",2021,"birth_cohort",81.1,"74.6 to 86.3",281
"child_vax_view","Rotavirus","Vermont",2022,"birth_cohort",85.8,"78.8 to 90.7",187
"child_vax_view","Rotavirus","Virginia",2019,"birth_cohort",79.8,"72.1 to 85.8",452
"child_vax_view","Rotavirus","Virginia",2020,"birth_cohort",72.1,"65.3 to 78.0",494
"child_vax_view","Rotavirus","Virginia",2021,"birth_cohort",79.1,"73.3 to 83.9",450
"child_vax_view","Rotavirus","Virginia",2022,"birth_cohort",82.8,"76.3 to 87.8",241
"child_vax_view","Rotavirus","Washington",2019,"birth_cohort",79.8,"74.7 to 84.2",455
"child_vax_view","Rotavirus","Washington",2020,"birth_cohort",75.1,"69.6 to 79.9",445
"child_vax_view","Rotavirus","Washington",2021,"birth_cohort",76.5,"70.7 to 81.4",394
"child_vax_view","Rotavirus","Washington",2022,"birth_cohort",76.9,"70.0 to 82.6",211
"child_vax_view","Rotavirus","West Virginia",2019,"birth_cohort",64.7,"57.1 to 71.6",201
"child_vax_view","Rotavirus","West Virginia",2020,"birth_cohort",74.3,"67.5 to 80.2",271
"child_vax_view","Rotavirus","West Virginia",2021,"birth_cohort",75.6,"69.2 to 81.1",279
"child_vax_view","Rotavirus","West Virginia",2022,"birth_cohort",83.2,"76.6 to 88.2",180
"child_vax_view","Rotavirus","Wisconsin",2019,"birth_cohort",76.9,"69.3 to 83.1",224
"child_vax_view","Rotavirus","Wisconsin",2020,"birth_cohort",75.2,"68.3 to 81.0",287
"child_vax_view","Rotavirus","Wisconsin",2021,"birth_cohort",78.5,"72.1 to 83.7",317
"child_vax_view","Rotavirus","Wisconsin",2022,"birth_cohort",82.2,"68.2 to 90.9",164
"child_vax_view","Rotavirus","Wyoming",2019,"birth_cohort",80.3,"73.9 to 85.4",260
"child_vax_view","Rotavirus","Wyoming",2020,"birth_cohort",76.1,"69.7 to 81.5",296
"child_vax_view","Rotavirus","Wyoming",2021,"birth_cohort",73.7,"66.9 to 79.6",306
"child_vax_view","Rotavirus","Wyoming",2022,"birth_cohort",72.8,"63.2 to 80.7",157
